transaction_id,account_id,customer_id,merchant_name,store_name,card_type,card_expire_date,transaction_type,transaction_status,amount,currency,timestamp_initiated,timestamp_completed,duration_sec,hour,day_of_week,months_to_expiry,geo_location,geo_distance_km,ip_address,retry_count,device_id,created_by,created_at,has_high_amount,has_long_duration,has_odd_hour,has_expiring_card,has_geo_far,has_status_fail,is_anomaly_suspected_supervised,is_anomaly_suspected_UnSupervised,iso_anomaly,iso_score,rule_anomalies
5e853b5f-9597-4e15-8a8d-924379cfc815,a0672a8a-b756-4e74-a149-9a6a67fdf9bc,08b33b07-85f2-426f-99bf-a91414fbd6a5,Townsend Ltd,Inc,AMEX,05/2030,OFFLINE,FAILED,3888.03,USD,2025-02-08 23:07:43,2025-02-08 23:10:04,141.0,23,5,58,"35.1260,49.8401",3715.5001056710153,200.98.39.78,1,0ad9435c-0e91-45ad-b1ca-22e543175887,warrenzamora,2025-07-26T22:22:02.859635,False,False,False,False,True,True,False,False,1,31.50364755244619,"['GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
8f08c047-7799-4329-9df0-9c75965c6eef,e22f4828-5270-4900-b3c5-3771d5832df9,8290fb63-c04e-47f7-bb99-13d4e5f4a3b7,Wheeler Group,PLC,VISA,11/2027,ONLINE,FAILED,5260.84,EUR,2024-10-14 20:00:26,2024-10-14 20:03:58,212.0,20,0,28,"30.0471,-171.8730",11198.048145911578,184.169.240.217,1,2df01776-7108-47b2-8607-b91588cdaa6e,misty62,2025-07-26T22:22:02.860706,True,False,False,False,True,True,True,True,1,68.27073760814446,"['HIGH_AMOUNT', 'GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
f03bd0f8-211c-4d19-ba67-833b48c71364,2a644ea1-b4f5-4e96-92d3-76221cb00799,cbcb2232-16ef-42bd-a9f6-5dea1df90353,Kirby-Douglas,Ltd,AMEX,04/2030,OFFLINE,FAILED,9521.13,USD,2025-04-11 07:58:45,2025-04-11 07:59:48,63.0,7,4,57,"-45.2244,32.9674",7852.875813051879,164.206.27.192,2,1faa6822-46a8-47a8-8605-4317766533d4,patriciamanning,2025-07-26T22:22:02.861014,True,False,False,False,True,True,True,True,1,48.91188938135235,"['HIGH_AMOUNT', 'GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
dd695cf7-3010-4bf3-a77c-376aabbb76a6,d7f8c372-7dd7-45a9-bdd1-ab9d8ccd16b3,a22fc326-46bc-4749-ac00-c64d375c31e6,Martinez-Rice,PLC,VISA,07/2026,OFFLINE,FAILED,5211.85,USD,2025-06-10 18:29:31,2025-06-10 18:34:12,281.0,18,1,12,"82.8405,-5.2067",8479.026157542483,183.41.85.53,0,eb36357a-5e17-42ef-8bbf-f563f9b64a08,rhodessteven,2025-07-26T22:22:02.861282,True,False,False,False,True,True,True,True,1,73.25956653830725,"['HIGH_AMOUNT', 'GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
b14f3311-5cea-4c64-85b3-eaf04246db6c,da386274-223c-406f-a852-78b169f72fa8,7f663863-1c02-4ec7-8185-0829ba4bbd21,Torres Ltd,Ltd,RUPAY,05/2029,ONLINE,FAILED,1108.87,EUR,2025-06-01 23:09:08,2025-06-01 23:09:18,10.0,23,6,46,"-74.4321,78.9068",9698.5599734851,59.76.70.199,1,c2f80a74-cdfd-4e01-830e-69b63eb1a838,dylan88,2025-07-26T22:22:02.862553,False,False,False,False,True,True,False,False,1,21.848316740178603,"['GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
0883b412-b597-4e37-8fdd-e9340d5040af,4750ba45-39af-402c-81fc-2168bac30d71,9d58791d-0282-49b8-83c7-91b1f3cd9074,Ritter-Fuller,LLC,VISA,12/2029,ONLINE,FAILED,5688.57,INR,2025-07-13 04:00:40,2025-07-13 04:02:41,121.0,4,6,53,"50.3435,62.4268",4368.292628807312,203.41.220.91,1,6da0f036-34bd-4504-a1cb-648e4e79f2e1,emcmahon,2025-07-26T22:22:02.862816,True,False,True,False,True,True,True,True,1,35.04121724321368,"['HIGH_AMOUNT', 'ODD_HOUR', 'GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
adf2ec7d-f129-46ae-82f1-4f75fd33c789,5af111d4-9d1d-4e5f-8f46-b5c5a91e667a,8c8d2a41-56c4-42d3-b1ba-54735776dd3d,"Wood, Coleman and Walker",Group,RUPAY,08/2028,OFFLINE,FAILED,7276.69,EUR,2024-08-10 03:01:13,2024-08-10 03:04:00,167.0,3,5,37,"-57.0358,-75.1426",14596.608813823694,220.133.65.10,2,22de0ac4-76b8-42ee-8d23-a9dcfaade46e,barrettjennifer,2025-07-26T22:22:02.863137,True,False,True,False,True,True,True,True,1,78.8964988541459,"['HIGH_AMOUNT', 'ODD_HOUR', 'GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
7ec6c26b-09a9-4f99-9e7a-3cbffbde38cb,03631b05-bddb-4d4b-97b5-37dda1b991c7,e2b09026-f154-49f9-a939-e2f0decafc29,"Meyers, Shelton and Gonzalez",Ltd,AMEX,06/2026,OFFLINE,FAILED,8456.83,USD,2024-08-19 21:40:33,2024-08-19 21:44:37,244.0,21,0,11,"-88.0088,-162.9956",11545.069690070675,197.27.48.216,3,5516f5f5-9fee-4146-b24e-6b1192049841,ortizkim,2025-07-26T22:22:02.863443,True,False,False,False,True,True,True,True,1,42.701313560507515,"['HIGH_AMOUNT', 'GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
d104a598-bb8d-4956-99ed-b210c51f28eb,dcea9fba-618e-4bf0-9111-2a6c95026486,7a76c0e2-81f9-40f7-9ed4-406124d93cce,"Collins, Thomas and Collins",and Sons,AMEX,09/2029,OFFLINE,FAILED,1105.38,EUR,2024-10-16 00:04:36,2024-10-16 00:08:56,260.0,0,2,50,"26.7665,-145.8045",13591.039242191462,193.77.219.82,3,f0435634-b4dd-46fb-afce-e45814fa1bcb,emily92,2025-07-26T22:22:02.863703,False,False,True,False,True,True,True,True,1,32.53680461357819,"['ODD_HOUR', 'GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
fc29267d-9603-4724-bd8c-8df800398fd8,0de49bd1-fdeb-4624-868c-ef1bdcca6b93,4643b1f0-c7e7-4b6f-bb5d-3fdb9b1b46f4,White and Sons,LLC,AMEX,08/2028,OFFLINE,FAILED,4429.2,INR,2025-03-30 22:23:09,2025-03-30 22:23:30,21.0,22,6,37,"-12.8696,137.5301",7205.307979187827,208.58.218.159,0,61b14f69-0085-4ecd-afaf-6845035ae1c5,urichardson,2025-07-26T22:22:02.863898,False,False,False,False,True,True,False,False,1,33.627198156185415,"['GEO_TOO_FAR', 'STATUS_NOT_SUCCESS']"
